Subject,Body,Spam
Special offer,Get 50% off on all products!,1
Important information,Your account needs verification.,0
Win a prize,You've won a free vacation package.,1
Account alert,Unusual activity detected on your account.,0
Get rich quick,Make thousands of dollars in a week!,1
Package delivery,Your package is on the way.,0
Exclusive deal,"Limited time offer: Buy one, get one free.",1
Password reset,Click here to reset your password.,0
Job opportunity,Work from home and earn big bucks.,1
Bank statement,Your monthly bank statement is available.,0
